190,1136,tja,2019-12-14 14:26:10.90093+00
191,1614,tjabba,2019-12-14 14:26:13.800761+00
192,973,sovvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,2019-12-14 16:19:27.55528+00
193,866,Heey,2019-12-14 17:12:44.21703+00
194,1028,yo,2019-12-14 17:12:47.050833+00
195,1676,Hola,2019-12-14 17:12:53.250663+00
196,866,Hur måru?,2019-12-14 17:13:14.400906+00
197,1028,Förkyld så är rätt trött. Men annars är det bra :D,2019-12-14 17:13:38.150744+00
198,1028,själv?,2019-12-14 17:13:41.10058+00
199,842,Hello! :D,2019-12-14 20:04:27.034155+00
200,866,HEllu,2019-12-14 20:04:22.404131+00
201,866,hur mår du idag?,2019-12-14 20:04:44.800732+00
202,842,Jag mår bra,2019-12-14 20:04:53.029305+00
203,842,Sj'lv då! :),2019-12-14 20:04:59.33038+00
204,866,"Som vanligt, helt okej",2019-12-14 20:05:21.855089+00
205,842,Zzzzz<,2019-12-14 20:26:22.404894+00
206,842,asd,2019-12-14 21:24:41.15124+00
207,842,Ludvig! :D,2019-12-14 21:27:21.850791+00
208,1089,hej,2019-12-14 21:27:31.752795+00
209,1089,hej,2019-12-14 21:33:25.050923+00
210,842,Tjo,2019-12-14 21:33:32.900781+00
211,842,Tjo,2019-12-14 21:36:53.401457+00
212,1136,hej,2019-12-14 21:36:57.501077+00
213,1089,hej,2019-12-14 21:37:07.450757+00
214,1539,hej,2019-12-14 23:10:48.217422+00
215,1614,tja,2019-12-14 23:10:50.217501+00
216,1539,hej,2019-12-14 23:20:15.521811+00
217,1112,hejsan,2019-12-14 23:20:18.316717+00
218,1112,annars då?,2019-12-14 23:20:41.116802+00
219,1539,mycket bra,2019-12-14 23:20:56.766748+00
220,1539,du då?,2019-12-14 23:21:04.016819+00
221,1112,"nämen vad trevligt, aa samma",2019-12-14 23:21:15.617255+00
222,1539,oki,2019-12-14 23:21:22.617025+00
223,866,Hellu,2019-12-15 08:54:11.335872+00
224,1065,tja,2019-12-15 08:54:15.084855+00
225,1136,Välkommen KAGEROU0907,2019-12-15 14:58:49.384742+00
226,1680,yo,2019-12-15 14:58:58.434667+00
227,1255,Halloj,2019-12-15 18:54:13.385174+00
228,1136,tja,2019-12-15 18:54:15.53469+00
229,1136,tja,2019-12-15 19:10:15.584852+00
230,1089,hej,2019-12-15 19:10:16.384602+00
231,1089,hej,2019-12-15 19:23:14.834889+00
232,1136,lol,2019-12-15 19:23:24.5347+00
233,1089,hur många trollmynt tror du en trident skulle gå för?,2019-12-15 19:24:40.434758+00
234,1136,1255.15,2019-12-15 19:26:44.385037+00
235,1677,de finns ingen shop på denna servern va?,2019-12-15 20:18:45.784945+00
236,842,Öh,2019-12-15 20:18:53.334821+00
237,842,Hur menar du?,2019-12-15 20:18:58.034633+00
238,1677,asså så man kan tex köpa mat eller blocks osv,2019-12-15 20:19:15.234927+00
239,842,Det finns en marknad i spawn :),2019-12-15 20:19:31.384944+00
240,1677,okej tack:),2019-12-15 20:19:41.634764+00
241,1028,tjena,2019-12-15 20:22:14.334885+00
242,842,Hejdu hejdu! :D,2019-12-15 20:22:19.134617+00
243,1136,tjaenrare,2019-12-15 20:22:20.034701+00
244,1089,7/home,2019-12-16 10:45:36.370034+00
245,1065,7home,2019-12-16 15:22:05.117975+00
246,1583,mobilen dog,2019-12-16 15:37:17.568014+00
247,1065,synd,2019-12-16 15:37:24.717761+00
248,1583,:(,2019-12-16 15:37:36.618262+00
249,1065,möt mig vid ditt hus så bestämmer vi vart brunnen ska vara,2019-12-16 15:38:13.317744+00
250,1583,ok,2019-12-16 15:38:20.567502+00
251,1065,kanske,2019-12-16 15:39:00.11911+00
252,1583,ja,2019-12-16 15:39:17.267687+00
253,1065,vänta malkolm har ett nnat ställe,2019-12-16 15:39:30.317842+00
254,1065,här,2019-12-16 15:39:59.017901+00
255,1583,ok,2019-12-16 15:40:03.717747+00
256,1065,bärja bygga,2019-12-16 15:40:12.067695+00
