8429,1525,Zzz,2020-02-04 14:18:02.24962+00
8430,1525,Zzzzz,2020-02-04 15:11:41.315122+00
8431,1525,Oki :),2020-02-04 18:35:10.432255+00
8432,1525,Tjenare philip :),2020-02-04 18:38:26.380551+00
8433,1028,tjena,2020-02-04 18:38:29.527419+00
8434,1666,hej :),2020-02-04 20:36:06.527634+00
8435,1558,hej,2020-02-04 20:36:08.0773+00
8436,1558,dc?,2020-02-04 20:36:22.82763+00
8437,1666,snart kan jag nog en liten stund :),2020-02-04 20:37:17.277644+00
8438,1558,ok,2020-02-04 20:37:23.977459+00
8439,1666,haft lite av en jobbig dag så ska bara va lite,2020-02-04 20:37:57.677421+00
8440,1558,ok ingen fara. vet ej hur länge jag orkar vara vid datorn. Ryggen plågar.,2020-02-04 20:38:43.677708+00
8441,1558,tja spif,2020-02-04 21:16:20.377579+00
8442,1558,hepp,2020-02-04 21:16:24.628418+00
8443,1558,tja spif,2020-02-04 21:17:15.543619+00
8444,1525,Halloj opaso!,2020-02-04 21:17:25.671829+00
8445,1666,Hej!,2020-02-04 21:19:57.677526+00
8446,1558,skräpar du ner :P,2020-02-04 21:20:02.227419+00
8447,1525,Tjenare :),2020-02-04 21:20:09.127453+00
8448,1525,Nej inte skulle jag det ;),2020-02-04 21:20:32.179905+00
8449,1558,:P,2020-02-04 21:20:36.927814+00
8450,1558,har du tråkigt spif?,2020-02-04 21:21:27.227697+00
8451,1525,Ah :P,2020-02-04 21:21:37.527718+00
8452,1558,ser de,2020-02-04 21:21:42.127281+00
8453,1558,:),2020-02-04 21:21:44.627444+00
8454,1666,bättre än sten?,2020-02-04 21:22:01.377549+00
8455,1558,ah,2020-02-04 21:22:06.877378+00
8456,1699,´/,2020-02-05 19:55:13.925644+00
8457,1828,permissiontrust johnnx12,2020-02-05 20:19:46.824616+00
8458,1802,permissiontrust,2020-02-05 20:19:47.12435+00
8459,1802,phome ccaappee,2020-02-05 20:45:24.974718+00
8460,1828,phome ccaappee,2020-02-05 20:45:36.774618+00
8461,1802,kan du bestämma dig ska du va inloggad eller inte ???????,2020-02-05 21:05:52.124884+00
8462,1699,nej :),2020-02-05 21:06:06.376569+00
8463,1828,vad identifierar du dig som?,2020-02-05 21:06:37.874687+00
8464,1699,hur menar du?,2020-02-05 21:07:15.024455+00
8465,1828,menar könsidentifering,2020-02-05 21:07:42.974621+00
8466,1828,pojke,2020-02-05 21:07:51.724318+00
8467,1699,jag är icebinär masc afab,2020-02-05 21:07:57.874497+00
8468,1828,flicka,2020-02-05 21:08:01.274453+00
8469,1699,ickebinär masc,2020-02-05 21:08:13.224469+00
8470,1828,är du en ickebinär mask arab?,2020-02-05 21:08:28.474414+00
8471,1699,"nej, ickebinär med maskulint könsuttryck och assigned female at birth :)",2020-02-05 21:09:12.424666+00
8472,1699,själv då?,2020-02-05 21:09:19.874423+00
8473,1828,"johnnx12 har berättat för mig att mask araber borde massutrotas för dem är djur, de har han läst på friatider",2020-02-05 21:09:50.474552+00
8474,1802,kan man öppna en shop vid sitt hus ?,2020-02-05 21:11:23.524706+00
8475,1802,nallemax,2020-02-05 21:11:28.42462+00
8476,1699,vet inte,2020-02-05 21:11:40.074472+00
8477,1828,ta reda på de tack :*,2020-02-05 21:12:11.041065+00
8478,1699,gör det själv,2020-02-05 21:12:20.32435+00
